n_droplets,n_qc,n_doublet,n_final,theta_median,dataset,sample,tissue,donor,histology
11619,10830,935,9875,0.051666717651356456,GSE208653,N_HPVneg_1,normal,N_HPVneg_1,-
9203,8569,5,8202,0.06616095121106037,GSE208653,N_HPVneg_2,normal,N_HPVneg_2,-
16218,15309,338,14879,0.05408542851278815,GSE208653,N_HPVpos_1,normal,N_HPVpos_1,-
7335,6812,1,6677,0.03412750640217058,GSE208653,N_HPVpos_2,normal,N_HPVpos_2,-
6346,5969,3,5919,0.05629373623645463,GSE208653,HSIL_1,HSIL,HSIL_1,-
7371,6981,142,6820,0.051450433443583146,GSE208653,HSIL_2,HSIL,HSIL_2,-
8979,8753,1,8597,0.08009210053132784,GSE208653,SCC_4,tumor,SCC_4,SCC
6734,6195,331,5807,0.05509593461493628,GSE208653,SCC_5,tumor,SCC_5,SCC
10154,8332,2,8318,0.04929263723319975,GSE208653,ADC_6,tumor,ADC_6,ADC
