dataset,sample,donor,tissue,histology,n_cells_total,n_immune,n_lymphocyte,n_TNK,n_NK,pct_of_all,pct_of_immune,pct_of_lymphocyte,n_NK_bright,pct_bright_of_NK,decontx_theta_median,median_UMI
GSE197461,ADC_1,ADC_1,tumor,ADC,3836,2438,2033,1728,29,0.7559958289885297,1.1894995898277276,1.426463354648303,3,10.344827586206897,0.02256695740368805,5055.5
GSE197461,ADC_2,ADC_2,tumor,ADC,1855,408,225,184,12,0.6469002695417789,2.9411764705882355,5.333333333333333,5,41.666666666666664,0.0192676818428166,5747.0
GSE197461,ADC_3,ADC_3,tumor,ADC,2160,517,371,367,1,0.046296296296296294,0.19342359767891681,0.2695417789757412,0,0.0,0.03886725080027725,6686.5
GSE197461,ADC_4,ADC_4,tumor,ADC,3772,3403,2601,1297,84,2.2269353128313893,2.4684102262709375,3.229527104959631,20,23.80952380952381,0.01020732998335995,7860.5
GSE197461,ADC_5,ADC_5,tumor,ADC,3106,2415,2197,1853,38,1.2234385061171926,1.5734989648033126,1.729631315430132,7,18.42105263157895,0.0168722361286682,3583.5
GSE197461,SCC_1,SCC_1,tumor,SCC,2556,1703,984,928,119,4.655712050078248,6.987668819729889,12.09349593495935,60,50.42016806722689,0.0277653881054495,5839.0
GSE197461,SCC_2,SCC_2,tumor,SCC,6322,5982,5917,5512,93,1.4710534640936412,1.5546639919759278,1.5717424370458002,20,21.50537634408602,0.03040172760330105,3274.0
GSE197461,SCC_3,SCC_3,tumor,SCC,5355,1348,1094,886,34,0.6349206349206349,2.522255192878338,3.1078610603290677,6,17.647058823529413,0.0208146079500933,6775.0
