dataset,sample,donor,tissue,histology,n_cells_total,n_immune,n_lymphocyte,n_TNK,n_NK,pct_of_all,pct_of_immune,pct_of_lymphocyte,n_NK_bright,pct_bright_of_NK,decontx_theta_median,median_UMI
GSE208653,ADC_6,ADC_6,tumor,ADC,8318,6167,4452,4173,123,1.4787208463572974,1.9944867844981353,2.7628032345013476,36,29.26829268292683,0.049211894885773905,3853.5
GSE208653,HSIL_1,HSIL_1,HSIL,-,5919,4538,3376,3085,175,2.9565805034634227,3.8563243719700306,5.1836492890995265,82,46.857142857142854,0.0558046875936501,3357.0
GSE208653,HSIL_2,HSIL_2,HSIL,-,6820,2935,2530,1985,189,2.771260997067449,6.439522998296423,7.470355731225297,84,44.44444444444444,0.0512486071783541,5009.5
GSE208653,N_HPVneg_1,N_HPVneg_1,normal,-,9875,6433,3669,3066,373,3.777215189873418,5.798227887455308,10.166257835922595,180,48.257372654155496,0.0515553448424454,3928.0
GSE208653,N_HPVneg_2,N_HPVneg_2,normal,-,8202,4066,3524,2174,175,2.13362594489149,4.303984259714707,4.9659477866061295,78,44.57142857142857,0.0627060529484755,3513.5
GSE208653,N_HPVpos_1,N_HPVpos_1,normal,-,14879,9708,6977,6386,258,1.7339874991598898,2.657601977750309,3.69786441163824,104,40.310077519379846,0.0538064962981078,3550.0
GSE208653,N_HPVpos_2,N_HPVpos_2,normal,-,6677,4858,4287,3995,46,0.6889321551595028,0.9468917249897078,1.073011429904362,13,28.26086956521739,0.0335503243885565,5930.0
GSE208653,SCC_4,SCC_4,tumor,SCC,8597,7754,4312,4107,257,2.989414912178667,3.3144183647149856,5.960111317254174,50,19.455252918287936,0.0779715999510971,2243.0
GSE208653,SCC_5,SCC_5,tumor,SCC,5807,2992,1902,1867,213,3.667986912347167,7.1189839572192515,11.198738170347003,83,38.967136150234744,0.0544224458181296,6808.0
