n_droplets,n_qc,n_doublet,n_final,theta_median,dataset,sample,tissue,donor,histology
1880,1811,13,1790,0.02911358896177572,GSE173231,CX1,normal_healthy,CX1,-
1775,1636,4,1624,0.03281631101106296,GSE173231,CX2,normal_healthy,CX2,-
3211,3151,5,3103,0.034034751952646256,GSE173231,CX3,normal_healthy,CX3,-
4266,4218,0,4166,0.1847515468374305,GSE173231,CX4,normal_healthy,CX4,-
3169,2986,3,2979,0.043944673949167595,GSE173231,CX5,normal_healthy,CX5,-
1448,1215,7,1205,0.016914300479815833,GSE173231,CX6A,normal_healthy,CX6,-
1487,725,3,715,0.015839589680964074,GSE173231,CX6B,normal_healthy,CX6,-
2606,2303,8,2293,0.04566425530177122,GSE173231,CX7A,normal_healthy,CX7,-
1710,1447,8,1415,0.032868884443111535,GSE173231,CX7B,normal_healthy,CX7,-
1874,1725,7,1666,0.02659687975497181,GSE173231,CX8,normal_healthy,CX8,-
