n_droplets,n_qc,n_doublet,n_final,theta_median,dataset,sample,tissue,donor,histology
3428,2617,0,2610,0.028821465953336994,GSE197461,SCC_1,tumor,SCC_1,SCC
6914,6747,0,6740,0.03180843363578866,GSE197461,SCC_2,tumor,SCC_2,SCC
5970,5396,5,5355,0.02107294984050778,GSE197461,SCC_3,tumor,SCC_3,SCC
5753,3976,0,3969,0.023289963549235897,GSE197461,ADC_1,tumor,ADC_1,ADC
2049,1869,7,1855,0.01938326330026116,GSE197461,ADC_2,tumor,ADC_2,ADC
3310,2175,6,2160,0.03922313053155803,GSE197461,ADC_3,tumor,ADC_3,ADC
4406,3830,2,3772,0.010359351560547613,GSE197461,ADC_4,tumor,ADC_4,ADC
3562,3108,1,3106,0.016872496339197254,GSE197461,ADC_5,tumor,ADC_5,ADC
